term,counts
covid,1453863
coronavirus,1453165
19,1329731
covid19,1020306
cases,330091
people,266688
amp,256027
new,245174
trump,229710
pandemic,197968
us,186838
via,160863
virus,160685
realdonaldtrump,146029
deaths,144597
get,142775
like,135343
news,131517
one,130316
health,127886
000,117773
casos,116726
positive,112953
world,106869
2020,104965
time,101760
mask,94059
know,91288
would,90578
need,88810
day,87383
death,87072
back,84576
china,81417
go,80424
please,79629
help,79127
masks,78413
still,77557
many,77255
going,77221
da,76865
test,76625
says,76292
state,76025
see,74901
si,74060
due,73586
today,72076
could,71564
even,71270
july,70938
10,70839
spread,69728
take,69155
total,68276
testing,68226
government,68181
lockdown,68052
good,67760
home,67744
country,67247
na,66845
care,66551
think,64210
may,64168
re,63995
crisis,63874
corona,63808
di,63716
bolsonaro,63026
india,62895
florida,62812
well,62414
president,62231
work,61700
the,60195
first,59785
say,59609
right,59261
schools,59099
make,58602
tests,58539
also,58516
die,57921
said,57901
public,57309
patients,57296
pandemia,56757
want,56690
states,56616
tested,56319
hospital,54880
wear,54174
read,53629
vaccine,53375
live,52011
year,51555
school,51527
way,51314
let,51160
really,50984
americans,50810
million,50148
social,49837
keep,49394
com,49164
much,49161
risk,48636
rate,48305
number,48075
não,47655
stop,47548
days,47072
america,46695
per,45754
data,45750
daily,45418
since,44876
last,44764
face,44736
response,44721
em,44164
safe,44104
got,44009
every,43937
support,43459
children,43312
stay,42709
dr,42679
open,42604
life,42237
24,42073
must,41737
another,41662
et,41625
great,41306
times,41159
11,40805
months,40762
uk,40743
lives,40569
students,40476
salud,40387
look,40306
usa,39998
case,39719
positivo,39696
business,39548
never,39289
texas,39204
getting,38964
global,38921
kids,38519
week,38435
real,38223
20,38204
everyone,38160
died,37978
nuevos,37715
to,37666
family,37470
come,37388
il,37305
two,37265
county,37142
update,36891
better,36885
latest,36601
des,36483
numbers,36450
long,36041
money,35616
man,35508
reported,35351
outbreak,35172
post,34829
next,34538
economy,34495
eu,34464
dan,34144
workers,34122
record,34071
high,33719
report,33254
yet,33243
du,33195
in,33146
around,32968
made,32842
control,32767
amid,32472
without,32428
100,32396
ca,32322
airborne,32268
wearing,32238
confirmed,32120
media,32023
medical,31814
reports,31803
countries,31769
gop,31761
plan,31658
covidー19,31443
free,31325
ser,31214
american,31085
12,31077
30,30696
país,30609
surge,30603
impact,30491
mais,30482
hope,30347
contagios,30147
use,30071
mil,30062
ve,30041
job,30031
gt,29986
big,29937
thing,29588
presidente,29587
check,29454
fight,29294
put,29292
give,29289
done,29069
thank,29036
personas,28962
mundo,28717
thanks,28475
infected,28475
person,28399
video,28298
cdc,28233
years,28199
already,28155
nothing,28136
study,28095
hospitals,28075
hit,27977
weeks,27977
gente,27962
and,27917
updates,27466
um,27444
est,27355
end,27320
disease,27260
cnn,27240
believe,27182
symptoms,27144
away,27062
flu,27006
sure,26952
fauci,26945
recovery,26917
city,26867
15,26865
brasil,26527
anyone,26522
needs,26498
protect,26470
staff,26452
bad,26400
oh,26396
infections,26385
hoy,26326
god,26105
tell,26034
covid_19,25976
watch,25947
top,25945
community,25917
best,25802
online,25769
part,25761
sick,25667
dead,25643
working,25518
experts,25359
article,25201
love,25179
non,25073
of,25062
find,25014
full,24970
things,24761
important,24606
rise,24538
taking,24527
mayor,24476
science,24428
ahora,24389
someone,24371
dos,24365
national,24359
distancing,24339
something,24244
air,23946
show,23938
oms,23920
día,23853
muertes,23816
follow,23805
soon,23789
continue,23785
ever,23777
start,23759
spike,23750
shit,23723
local,23715
old,23672
sa,23671
far,23662
across,23601
story,23589
reopen,23562
youtube,23498
reopening,23486
others,23481
07,23463
chinese,23427
mas,23305
population,23271
méxico,23096
information,22956
yes,22901
economic,22846
pay,22846
enough,22805
situation,22758
call,22756
close,22737
safety,22714
uma,22696
saying,22674
de,22633
increase,22576
place,22529
pour,22505
change,22499
house,22493
gobierno,22487
travel,22368
scientists,22300
businesses,22142
party,22121
14,22088
white,22084
breaking,22073
recovered,22065
less,22034
it,22015
infection,21997
quarantine,21992
contact,21983
coming,21879
julio,21836
trying,21735
might,21726
fuck,21608
normal,21461
lost,21424
research,21417
medidas,21354
second,21259
wrong,21235
making,21087
50,20968
au,20888
united,20879
va,20878
evidence,20854
south,20820
hard,20802
market,20786
fucking,20669
lot,20629
donald,20521
toll,20499
través,20480
least,20451
kill,20404
york,20387
covid__19,20349
fall,20323
likely,20320
everything,20285
maybe,20249
solo,20100
brazil,20079
learn,20077
govt,20059
education,20047
cause,20019
leadership,20011
federal,20003
always,19995
governor,19970
black,19896
pm,19886
actually,19870
homes,19815
doctor,19807
cuarentena,19755
point,19743
dying,19663
future,19583
así,19565
venezuela,19547
treatment,19522
ele,19502
transmission,19401
feel,19383
no,19302
officials,19296
trumpvirus,19294
rt,19234
including,19218
food,19173
stupid,19159
vote,19121
month,19090
immunity,19047
anything,19045
system,19036
save,19002
pacientes,18993
results,18943
hours,18936
single,18882
this,18872
une,18828
worst,18748
ll,18733
gov,18712
highest,18541
order,18522
is,18454
thought,18452
early,18426
team,18401
three,18398
pas,18354
looking,18317
possible,18312
nuevo,18284
sur,18191
join,18169
wants,18158
doctors,18157
pra,18121
puede,18099
jobs,18091
13,18086
healthcare,18078
you,18054
plus,18039
fallecidos,18014
worse,18001
fake,17991
true,17942
california,17911
spreading,17826
little,17784
truth,17734
fact,17629
march,17619
share,17589
australia,17555
wave,17515
closed,17495
sir,17494
canada,17435
human,17411
mean,17407
casa,17379
small,17363
makes,17335
vía,17305
thousands,17274
días,17272
police,17254
shut,17226
political,17105
el,17071
according,17017
dies,17013
hoax,16983
bbc,16978
shows,16969
used,16956
positivos,16940
related,16936
sad,16928
anti,16866
dans,16848
van,16792
wait,16766
tem,16766
link,16754
fear,16716
despite,16711
using,16690
together,16638
found,16623
coronavírus,16591
la,16577
june,16532
ago,16527
hands,16494
families,16462
jair,16445
friends,16441
low,16414
become,16400
sign,16390
guidelines,16383
bien,16379
etc,16369
99,16358
young,16277
app,16255
called,16230
we,16182
muertos,16166
for,16152
millions,16139
arizona,16083
understand,16069
measures,16056
seen,15965
administration,15949
heart,15919
nation,15903
potus,15902
based,15894
lies,15875
almost,15872
told,15868
restrictions,15843
relief,15843
minister,15782
horas,15759
left,15747
active,15695
कर,15672
killing,15666
talk,15664
among,15657
parents,15646
40,15639
seriously,15636
past,15608
remember,15584
set,15560
reason,15555
25,15512
yesterday,15505
wo,15445
up,15284
info,15222
problem,15221
matter,15201
listen,15199
given,15197
gets,15169
summer,15161
blame,15160
60,15124
vai,15119
available,15098
caso,15062
ng,15055
personal,15050
higher,15048
bill,15029
das,15026
teachers,15021
